Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Zero-Tails,Shadow Arms,Novel;Movie,,,,,,,,,https://static.wikia.nocookie.net/naruto/images/8/87/Zero_tails.PNG/revision/latest/scale-to-width-down/300?cb=20120518185128
Ten-Tails,Six Paths Senjutsu;Tailed Beast Ball;Tailed Beast Chakra Arms;Tailed Beast Shockwave;Ten-Tails Fission;Tenpenchii;Truth-Seeking Ball;Wood Release: Cutting Technique,Anime;Manga;Novel;Game;Movie,,Tailed Beast,,,,,,Fire Release,https://static.wikia.nocookie.net/naruto/images/e/e6/Ten-Tails_emerges.png/revision/latest/scale-to-width-down/300?cb=20140523101840
Three-Headed Guardian Beast,,,,,,,,,Yumegakure,,https://static.wikia.nocookie.net/naruto/images/7/79/Three-Heads_after_release.png/revision/latest/scale-to-width-down/300?cb=20120303155347
A (First Raikage),,Anime;Manga,Male,,,,Raikage,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/7/70/A.png/revision/latest/scale-to-width-down/300?cb=20141016130545
A (Second Raikage),,Anime;Manga,Male,,,,Raikage,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/3/3f/2nd_Raikage.png/revision/latest/scale-to-width-down/300?cb=20211214203620
A (Third Raikage),Black Lightning;Body Flicker Technique;Hell Stab;Lightning Release Chakra Mode;Lightning Straight,Anime;Manga;Game,Male,,,Kohaku no Johei,Raikage,Eight-Tails Subduing Team,Kumogakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/f/f5/Raikage3.png/revision/latest/scale-to-width-down/300?cb=20160116123903
A (Fourth Raikage),Body Flicker Technique;Drop Kick ;Elbow;Guillotine Drop;Iron Claw;Liger Bomb;Lightning Oppression Horizontal;Lightning Oppression Horizontal Chop;Lightning Release Chakra Mode;Lightning Release: Double Lariat;Lightning Release: Lariat;Lightning Straight;Lightning Water Dragon Bullet,Anime;Manga;Novel;Game;Movie,Male,,,Chakra Cannon,Raikage,Eight-Tails Subduing Team,Kumogakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/4/4c/Fourth_Raikage_2.png/revision/latest/scale-to-width-down/300?cb=20180901014100
Abiru,,Anime;Manga,Male,,,,,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/7/72/Abiru_new.png/revision/latest/scale-to-width-down/300?cb=20220224034653
Zaku Abumi,,Anime;Manga;Game,Male,,,,,Team Dosu,Otogakure,,https://static.wikia.nocookie.net/naruto/images/4/40/Zaku_Abumi.PNG/revision/latest/scale-to-width-down/300?cb=20150128180337
Harika Aburame,Parasitic Destruction Insect Technique (Kikaichu),Anime,Female,,Aburame,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4e/Harika_Aburame.png/revision/latest/scale-to-width-down/300?cb=20220904143733
Muta Aburame,"Insect Jamming Technique;Parasitic Destruction Insect Technique (Kikaichu, Shokaichu)",Anime;Manga;Movie,Male,,Aburame,,,Infiltration and Reconnaissance Party,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/1f/Aburame_Muta.png/revision/latest/scale-to-width-down/300?cb=20160115101249
Shibi Aburame,,Anime;Manga;Novel;Game;Movie,Male,,Aburame,,Head of the Aburame Clan,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/b/b3/Shibi.png/revision/latest/scale-to-width-down/300?cb=20150315114902
Shikuro Aburame,Parasitic Destruction Insect Technique (Rinkaichu),,Male,,Aburame,Antidote,,,Konohagakure,,
Shino Aburame,"Human Cocoon Technique ;Insect Clone Technique;Insect Jamming Technique;Insect Jar Technique ;Insect Rope Technique ;Iron Mountain Leaning ;Manipulated Shuriken Technique ;Parasitic Destruction Insect Technique (Giant Insect, Kidaichu, Kikaichu);Parasitic Giant Insect — Bug Bite;Secret Technique: Insect Cocoon ;Secret Technique: Insect Gathering ;Secret Technique: Insect Sphere;Secret Technique: Insect Tornado ;Secret Technique: Insect Wall ;Spindle Formation ;Summoning Technique (Giant Insect, Kidaichu, Kikaichu)",Anime;Manga;Novel;Game;Movie,Male,,Aburame,Sealing Tag ,Academy Teacher,Team 8,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/9/9c/Shino.png/revision/latest/scale-to-width-down/300?cb=20160924021327
Tatsuma Aburame,Parasitic Destruction Insect Technique,Anime;Manga,Male,,Aburame,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/b/bb/Tatsuma_Aburame.png/revision/latest/scale-to-width-down/300?cb=20141107145937
Torune Aburame,"Assassination Technique ;Insect Clone Technique ;Jar of Poison Technique ;Parasitic Destruction Insect Technique (Kikaichu, Rinkaichu);Poison Cloud Technique ",Anime;Manga;Game,Male,,Aburame,Antidote,,Impure World Reincarnation Allied Forces  ,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/35/Torune_Anime.png/revision/latest/scale-to-width-down/300?cb=20150209195934
Yoji Aburame,Parasitic Destruction Insect Technique (Kochu),,Male,,Aburame,,,Team 2,Konohagakure,,
Ada,,Manga,Female,,,,,,Kara,,https://static.wikia.nocookie.net/naruto/images/f/f9/Ada.png/revision/latest/scale-to-width-down/300?cb=20210421051547
Agara,,Anime;Manga,Male,,,,,,Takigakure,,https://static.wikia.nocookie.net/naruto/images/7/71/Agara.png/revision/latest/scale-to-width-down/300?cb=20220218133634
Agari,,Anime;Manga;Game,Female,,,,,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/5/5c/Agari.png/revision/latest/scale-to-width-down/300?cb=20150221142340
Ageha,,Anime;Manga;Novel;Game,Female,,,,,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/4/4b/Ageha.png/revision/latest/scale-to-width-down/300?cb=20150221141938
Ahiko,,Anime;Manga,Male,,,,Prisoner,,,,https://static.wikia.nocookie.net/naruto/images/7/7c/Ahiko.png/revision/latest/scale-to-width-down/300?cb=20211021205724
Aho Bird,,Anime;Game,,,,,,,,,https://static.wikia.nocookie.net/naruto/images/2/2f/Ahou-Bird.png/revision/latest?cb=20150529142952
Aino,,Anime,Female,,,,Attendant of the Land of Ancestors,,Land of Ancestors,,https://static.wikia.nocookie.net/naruto/images/b/bb/Aino.png/revision/latest/scale-to-width-down/300?cb=20160704013506
Ajisai,,Anime;Manga;Game,Female,,,,,Team Ajisai  ,Amegakure,,https://static.wikia.nocookie.net/naruto/images/4/40/Ajisai.png/revision/latest/scale-to-width-down/300?cb=20150122133739
Akaboshi,Barrier Shattering Technique;Chakra Transfer Technique;Combination Transformation;Hurricane Thunderclap;Impermanence of Worldly Things;Infinite Embrace;Multiple Infinite Embraces;Shadow Rope Technique;Telegram Flash,Anime,Male,,,,,Magaki Group,,Lightning Release,https://static.wikia.nocookie.net/naruto/images/1/19/Akaboshi.PNG/revision/latest/scale-to-width-down/300?cb=20160519060308
Manabu Akado,,Anime;Manga;Game,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/b/bc/Manabu_Akado.png/revision/latest/scale-to-width-down/300?cb=20150116192713
Yoroi Akado,,Anime;Manga;Game,Male,Missing-nin,,,Otogakure spy,Team Kabuto,Konohagakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/4/40/Yoroi_Akad%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150124075621
Akahoshi,Mysterious Peacock Method,Anime,Male,,,Meteorite,Hoshikage,,Hoshigakure,,https://static.wikia.nocookie.net/naruto/images/a/a3/Akahoshi_newshot.png/revision/latest/scale-to-width-down/300?cb=20120528152837
Akamaru,Beast Human Clone;Combination Transformation;Dynamic Marking;Fang Passing Fang;Fang Rotating Fang;Fang Wolf Fang;Human Beast Combination Transformation: Double-Headed Wolf;Human Beast Mixture Transformation — Three-Headed Wolf;Passing Fang;Super Fang Wolf Fang ;Tail Chasing Fang Fang Rotating Fang,Anime;Manga;Novel;Game;Movie,Male,,Inuzuka,Military Rations Pill,,Team 8,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/09/Akamaru_p1.png/revision/latest/scale-to-width-down/300?cb=20140705090523
Iwana Akame,,Anime;Manga;Novel;Game,Male,,,,Academy Teacher  ,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/a/a6/Iwana_Akame.png/revision/latest/scale-to-width-down/300?cb=20150207163508
Akane,,Anime;Manga,Male,,,,Carpenter,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/a/aa/Akane.png/revision/latest/scale-to-width-down/300?cb=20150221142705
Akane (Kunoichi),,Anime;Novel;Movie,,,,,,,,,
Akane's Father,,,Male,,,,,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/4/46/Akane%27s_father.PNG/revision/latest/scale-to-width-down/300?cb=20220212063110
Akari,,Anime,Female,,,,Cultist,,,,https://static.wikia.nocookie.net/naruto/images/7/7d/Akari.png/revision/latest/scale-to-width-down/300?cb=20220224071135
Akatsuchi,,Anime;Manga;Novel;Game;Movie,Male,,,,Tsuchikage's Bodyguard,,Iwagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/1/16/Akatsuchi_Part_II.png/revision/latest/scale-to-width-down/300?cb=20190209014302
Jinin Akebino,Silent Killing,Anime;Manga;Game,Male,,,Kabutowari,,Seven Ninja Swordsmen of the Mist,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/2/25/Jinin.png/revision/latest/scale-to-width-down/300?cb=20211208195311
Akemaru,,Anime;Novel,Male,,Inuzuka,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/0d/Akemaru.png/revision/latest/scale-to-width-down/300?cb=20190210092701
Chobee Akimichi,Calorie Control;Multi-Size Technique;Partial Multi-Size Technique,Anime,Male,,Akimichi,,,,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/6/69/Ch%C5%8Dbee_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20170809125734
Chocho Akimichi,,Anime;Manga;Novel;Game;Movie,Female,,Akimichi,,,Team 10,Konohagakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/0/08/Ch%C5%8Dch%C5%8D_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20171220104427
Choji Akimichi,Ballistic Waterwheel ;Butterfly Bullet Bombing;Butterfly Mode;Calorie Control;Double Human Bullet Tank;Earth Release: Practice Brick Technique;Formation Ino–Shika–Cho;Human Bullet Tank;Human Bullet Yo-Yo;Multi-Size Technique;Partial Multi-Size Technique;Spiked Human Bullet Tank;Super Multi-Size Technique;Super Open Hand Slap,Anime;Manga;Novel;Game;Movie,Male,,Akimichi,Military Rations Pill,,Team 10,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/7/7d/Ch%C5%8Dji_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20200426204415
Choji's Mother,,,Female,,Akimichi,,,Allied Mothers Force,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/17/Choji%27s_Mother.png/revision/latest/scale-to-width-down/300?cb=20160125195859
Choza Akimichi,Calorie Control;Double Human Bullet Tank;Formation Ino–Shika–Cho;Human Bullet Tank;Multi-Size Technique;Partial Multi-Size Technique;Super Multi-Size Technique,Anime;Manga;Novel;Game;Movie,Male,,Akimichi,Bo,Head of the Akimichi Clan,Ino–Shika–Cho,Konohagakure,Yang Release,https://static.wikia.nocookie.net/naruto/images/a/a8/Ch%C5%8Dza_Akimichi.png/revision/latest/scale-to-width-down/300?cb=20180304093618
